_id,season,player,pos,age,experience,tm,trb_per_game,ast_per_game,stl_per_game,blk_per_game,pts_per_game
66642cfab27c93a6817a067b,2010,Luke Walton,SF,29,7,LAL,1.3,1.4,0.3,0,2.4
66642cfab27c93a6817a067c,2010,Luol Deng,SF,24,6,CHI,7.3,2,0.9,0.9,17.6
66642cfab27c93a6817a067d,2010,Luther Head,SG,27,5,IND,1.7,1.5,0.4,0.2,7.6
66642cfab27c93a6817a067e,2010,Malik Allen,PF,31,9,DEN,1.6,0.3,0.2,0.1,2.1
66642cfab27c93a6817a067f,2010,Malik Hairston,SG,22,2,SAS,1,0.3,0.1,0.2,2.1
66642cfab27c93a6817a0680,2010,Manu Ginóbili,SG,32,8,SAS,3.8,4.9,1.4,0.3,16.5
66642cfab27c93a6817a0681,2010,Marc Gasol,C,25,2,MEM,9.3,2.4,1,1.6,14.6
66642cfab27c93a6817a0682,2010,Marcin Gortat,C,25,3,ORL,4.2,0.2,0.2,0.9,3.6
66642cfab27c93a6817a0683,2010,Marco Belinelli,SG,23,3,TOR,1.4,1.3,0.6,0.1,7.1
66642cfab27c93a6817a0684,2010,Marcus Banks,PG,28,7,TOR,1,1.2,0.5,0.1,5
66642cfab27c93a6817a0685,2010,Marcus Camby,PF-C,35,14,TOT,11.8,2.5,1.3,2,7.5
66642cfab27c93a6817a0686,2010,Marcus Camby,PF,35,14,LAC,12.1,3,1.4,1.9,7.7
66642cfab27c93a6817a0687,2010,Marcus Camby,C,35,14,POR,11.1,1.5,1.1,2,7
66642cfab27c93a6817a0688,2010,Marcus Haislip,SF,29,4,SAS,1,0,0,0.2,2.5
66642cfab27c93a6817a0689,2010,Marcus Landry,SF,24,1,TOT,1.1,0,0.1,0.1,2.4
66642cfab27c93a6817a068a,2010,Marcus Landry,SF,24,1,NYK,1.1,0,0.1,0.1,2.6
66642cfab27c93a6817a068b,2010,Marcus Landry,SF,24,1,BOS,0,0,0,0,0
66642cfab27c93a6817a068c,2010,Marcus Thornton,SG,22,1,NOH,2.9,1.6,0.8,0.2,14.5
66642cfab27c93a6817a068d,2010,Marcus Williams,PG,24,4,MEM,1.5,2.6,0.5,0,4.3
66642cfab27c93a6817a068e,2010,Mardy Collins,SG,25,4,LAC,1.2,1,0.5,0,2.6
66642cfab27c93a6817a068f,2010,Mario Chalmers,PG,23,2,MIA,1.8,3.4,1.2,0.2,7.1
66642cfab27c93a6817a0690,2010,Mario West,SG,25,3,ATL,0.7,0.2,0.2,0,0.8
66642cfab27c93a6817a0691,2010,Marquis Daniels,SF,29,7,BOS,1.9,1.3,0.5,0.1,5.6
66642cfab27c93a6817a0692,2010,Marreese Speights,C,22,2,PHI,4.1,0.6,0.5,0.5,8.6
66642cfab27c93a6817a0693,2010,Martell Webster,SF,23,5,POR,3.3,0.8,0.5,0.5,9.4
66642cfab27c93a6817a0694,2010,Marvin Williams,SF,23,5,ATL,5.1,1.1,0.8,0.6,10.1
66642cfab27c93a6817a0695,2010,Matt Barnes,SF,29,7,ORL,5.5,1.7,0.7,0.4,8.8
66642cfab27c93a6817a0696,2010,Matt Bonner,PF,29,6,SAS,3.3,1,0.5,0.4,7
66642cfab27c93a6817a0697,2010,Matt Carroll,SG,29,7,DAL,0.5,0.2,0.2,0,1.8
66642cfab27c93a6817a0698,2010,Maurice Evans,SF,31,7,ATL,1.9,0.6,0.4,0.2,5.7
66642cfab27c93a6817a0699,2010,Mehmet Okur,C,30,8,UTA,7.1,1.6,0.5,1.1,13.5
66642cfab27c93a6817a069a,2010,Metta World Peace,SF,30,11,LAL,4.3,3,1.4,0.3,11
66642cfab27c93a6817a069b,2010,Michael Beasley,PF,21,2,MIA,6.4,1.3,1,0.6,14.8
66642cfab27c93a6817a069c,2010,Michael Finley,SF,36,15,TOT,1.5,0.9,0.2,0.1,4.4
66642cfab27c93a6817a069d,2010,Michael Finley,SF,36,15,SAS,1.5,0.8,0.2,0.2,3.7
66642cfab27c93a6817a069e,2010,Michael Finley,SF,36,15,BOS,1.6,1.1,0.2,0.1,5.2
66642cfab27c93a6817a069f,2010,Michael Redd,SG,30,10,MIL,3,2.2,1.1,0.1,11.9
66642cfab27c93a6817a06a0,2010,Mickaël Piétrus,SF,27,7,ORL,2.9,0.7,0.7,0.4,8.7
66642cfab27c93a6817a06a1,2010,Mike Bibby,PG,31,12,ATL,2.3,3.9,0.8,0,9.1
66642cfab27c93a6817a06a2,2010,Mike Conley,PG,22,3,MEM,2.4,5.3,1.4,0.2,12
66642cfab27c93a6817a06a3,2010,Mike Dunleavy,SF,29,8,IND,3.5,1.5,0.6,0.2,9.9
66642cfab27c93a6817a06a4,2010,Mike Harris,PF,26,2,TOT,1.8,0.2,0.4,0.1,2.2
66642cfab27c93a6817a06a5,2010,Mike Harris,PF,26,2,HOU,2.5,0.4,0.5,0.1,3.1
66642cfab27c93a6817a06a6,2010,Mike Harris,PF,26,2,WAS,0.8,0,0.2,0,0.8
66642cfab27c93a6817a06a7,2010,Mike James,PG,34,9,WAS,0.8,1.3,0.8,0,4.5
66642cfab27c93a6817a06a8,2010,Mike Miller,SG,29,10,WAS,6.2,3.9,0.7,0.2,10.9
66642cfab27c93a6817a06a9,2010,Mike Wilks,PG,30,7,OKC,1,1,0,0,4
66642cfab27c93a6817a06aa,2010,Mikki Moore,C,34,12,GSW,3,1.6,0.2,0.6,5
66642cfab27c93a6817a06ab,2010,Mo Williams,PG,27,7,CLE,3,5.3,1,0.3,15.8
66642cfab27c93a6817a06ac,2010,Monta Ellis,SG,24,5,GSW,4,5.3,2.2,0.4,25.5
66642cfab27c93a6817a06ad,2010,Morris Peterson,SG,32,10,NOH,2.7,0.9,0.5,0.1,7.1
66642cfab27c93a6817a06ae,2010,Nate Robinson,PG,25,5,TOT,2,2.9,0.9,0.1,10.1
66642cfab27c93a6817a06af,2010,Nate Robinson,PG,25,5,NYK,2.4,3.7,0.9,0.2,13.2
66642cfab27c93a6817a06b0,2010,Nate Robinson,PG,25,5,BOS,1.5,2,0.8,0,6.5
66642cfab27c93a6817a06b1,2010,Nathan Jawai,C,23,2,MIN,2.7,0.6,0.3,0.2,3.2
66642cfab27c93a6817a06b2,2010,Nazr Mohammed,C,32,12,CHA,5.2,0.5,0.3,0.7,7.9
66642cfab27c93a6817a06b3,2010,Nenad Krstić,C,26,6,OKC,5,0.7,0.4,0.6,8.4
66642cfab27c93a6817a06b4,2010,Nenê,C,27,8,DEN,7.6,2.5,1.4,1,13.8
66642cfab27c93a6817a06b5,2010,Nick Collison,C,29,6,OKC,5.1,0.5,0.5,0.6,5.9
66642cfab27c93a6817a06b6,2010,Nick Young,SG,24,3,WAS,1.4,0.6,0.4,0.1,8.6
66642cfab27c93a6817a06b7,2010,Nicolas Batum,SF,21,2,POR,3.8,1.2,0.6,0.7,10.1
66642cfab27c93a6817a06b8,2010,O.J. Mayo,SG,22,2,MEM,3.8,3,1.2,0.2,17.5
66642cfab27c93a6817a06b9,2010,Oleksiy Pecherov,C,24,3,MIN,2.8,0.3,0.2,0.3,4.5
66642cfab27c93a6817a06ba,2010,Oliver Lafayette,SG,25,1,BOS,4,2,0,0,7
66642cfab27c93a6817a06bb,2010,Omri Casspi,SF,21,1,SAC,4.5,1.2,0.7,0.2,10.3
66642cfab27c93a6817a06bc,2010,Othello Hunter,SF,23,2,ATL,1.7,0,0,0.1,1.6
66642cfab27c93a6817a06bd,2010,Othyus Jeffers,SG,24,1,UTA,1.4,0.1,0.3,0,2.6
66642cfab27c93a6817a06be,2010,Patrick O'Bryant,C,23,4,TOR,1,0.1,0.2,0.4,1.7
66642cfab27c93a6817a06bf,2010,Patty Mills,PG,21,1,POR,0.2,0.5,0,0,2.6
66642cfab27c93a6817a06c0,2010,Pau Gasol,C,29,9,LAL,11.3,3.4,0.6,1.7,18.3
66642cfab27c93a6817a06c1,2010,Paul Davis,PF,25,4,WAS,0,1.5,0,0.5,2.5
66642cfab27c93a6817a06c2,2010,Paul Millsap,PF,24,4,UTA,6.8,1.6,0.8,1.2,11.6
66642cfab27c93a6817a06c3,2010,Paul Pierce,SF,32,12,BOS,4.4,3.1,1.2,0.4,18.3
66642cfab27c93a6817a06c4,2010,Peja Stojaković,SF,32,12,NOH,3.7,1.5,0.8,0.1,12.6
66642cfab27c93a6817a06c5,2010,Pops Mensah-Bonsu,PF,26,3,TOT,1.8,0.2,0.2,0.5,2
66642cfab27c93a6817a06c6,2010,Pops Mensah-Bonsu,PF,26,3,HOU,1,0.3,0.3,0.3,1.3
66642cfab27c93a6817a06c7,2010,Pops Mensah-Bonsu,PF,26,3,TOR,1.9,0.1,0.2,0.5,2.1
66642cfab27c93a6817a06c8,2010,Primož Brezec,C,30,8,TOT,1.2,0,0,0.1,0.9
66642cfab27c93a6817a06c9,2010,Primož Brezec,C,30,8,PHI,1.7,0,0.1,0.1,0.7
66642cfab27c93a6817a06ca,2010,Primož Brezec,C,30,8,MIL,0.9,0.1,0,0.1,1
66642cfab27c93a6817a06cb,2010,Quentin Richardson,SF,29,10,MIA,4.9,1.2,0.9,0.2,8.9
66642cfab27c93a6817a06cc,2010,Quinton Ross,SF-SG,28,6,TOT,0.9,0.2,0.3,0.1,1.8
66642cfab27c93a6817a06cd,2010,Quinton Ross,SF,28,6,DAL,1,0.3,0.3,0.1,2
66642cfab27c93a6817a06ce,2010,Quinton Ross,SG,28,6,WAS,0.9,0.2,0.2,0.1,1.5
66642cfab27c93a6817a06cf,2010,Rafer Alston,PG,33,11,TOT,2.5,3.4,1,0.2,8.2
66642cfab27c93a6817a06d0,2010,Rafer Alston,PG,33,11,NJN,2.8,3.9,1,0.2,9.7
66642cfab27c93a6817a06d1,2010,Rafer Alston,PG,33,11,MIA,2.2,2.9,0.9,0.2,6.6
66642cfab27c93a6817a06d2,2010,Raja Bell,SG,33,10,TOT,3.8,2.2,0.7,0.3,11.8
66642cfab27c93a6817a06d3,2010,Raja Bell,SG,33,10,CHA,4.2,2,0.8,0.4,12
66642cfab27c93a6817a06d4,2010,Raja Bell,SG,33,10,GSW,2,3,0,0,11
